,VarImp,STD
EI_Glyceric acid-3-phosphate (4TMS),0.009274027048765676,0.001312609957740948
EI_Glyceric acid-2-phosphate (4TMS),0.008809669241795276,0.0013073155202967897
EI_C0257,0.007713520094718397,0.0012416941305425332
EI_C0165,0.007305258601883716,0.0010650290940667027
EI_C1013,0.007282487234859706,0.0010568117659133164
EI_C0992,0.005553229756354756,0.0011009943927498536
EI_C0847,0.0055060067205058,0.0009660057736951717
EI_C0746,0.005385977591202202,0.0009878137102033873
EI_C0189,0.00500683951486456,0.0009221545787067272
EI_C0400,0.004382602312987768,0.0008440737236995923
EI_C0133,0.0040908300776148895,0.0009157125382123504
EI_Erythronic acid (4TMS),0.0040140045661845964,0.000745486758109071
EI_C0530,0.003982282042682434,0.0008160284755919636
EI_Aspartic acid (2TMS),0.0038326860763700146,0.0007260851949927761
EI_C0278,0.0036076349572098662,0.0007277741689140353
EI_C0719,0.003480708224492693,0.0008871738066439787
EI_C0709,0.003249854433399356,0.0007574760874765061
EI_C0279,0.0031584729899814916,0.0007640006308987232
"EI_Norvaline, DL- (2TMS)",0.0031061431280669555,0.0007121765151767819
"EI_Homoserine, beta-, DL- (3TMS)_2",0.0028724407735638228,0.0008030007312780138
EI_C0176,0.00281451084722569,0.000701445272949287
EI_C0838,0.0027064477528488335,0.0007054371414765512
EI_C0457,0.002591595116399804,0.0005997564773816421
EI_C0255,0.00257120789366883,0.0006837967399979562
EI_C0238,0.0025344539046831096,0.0007661591943010964
EI_Serine (2TMS),0.002413397449627919,0.0007271178724531231
EI_C1258,0.002344196459284352,0.0007010619921216588
EI_C0919,0.0021714285714285802,0.0
EI_C1009,0.002133391452118293,0.0006440782283608286
EI_C0191,0.00210647796174371,0.0006303960217190656
EI_Sarcosine (2TMS),0.0021035659060956685,0.0006600824760578626
EI_C0421,0.001966666666666666,0.0
EI_Aspartic acid (3TMS),0.00193275414030414,0.0006941757007505518
EI_Serine (4TMS),0.0018853674815893855,0.0006202432994357605
EI_Threonine (2TMS),0.0018277249620749626,0.0005539961325483917
EI_Alanine (3TMS),0.00181798327763775,0.0006010674913407973
EI_C1245,0.0018129696710696705,0.0005044663334235287
EI_C0929,0.00179047619047619,0.0
EI_C0097,0.001785164240784878,0.000620830060554068
EI_C0993,0.0017743623733703093,0.0006808868053907366
EI_C0258,0.001772619047619048,0.00048690476190476186
EI_C0399,0.0017496103583713233,0.0005714985986139679
EI_C1156,0.0017138401509755672,0.0006062993553545981
EI_C1192,0.0017050505050505062,0.0
EI_C1053,0.001684344805521276,0.0005604196551544159
EI_Malic acid (3TMS),0.00165365332099203,0.0005865773073545535
EI_C0795,0.00165054945054945,0.0
EI_C0602,0.0016502393897859582,0.0006366752710358678
EI_C0515,0.0016500329916996587,0.0004973319686924724
EI_C0953,0.00165,0.0
EI_C0313,0.00163888888888889,0.0
EI_C0843,0.0016286478406576448,0.0006023521877412917
EI_C1181,0.0016226928906974782,0.0006168729895481466
EI_C1302,0.001610989010989012,0.0
EI_C0556,0.001610090657619727,0.0007244637947190146
EI_C0910,0.0016078599924400844,0.0005091324241272022
EI_C1035,0.0016074581475623141,0.00048602066488541125
EI_C0711,0.001570730609546399,0.0005358762351542403
EI_C0997,0.0015666169373555743,0.0007320624227852029
EI_C0230,0.0015446402521188843,0.0005150130314639959
EI_C0357,0.0015425229905099724,0.0005001927133645632
EI_C0521,0.0015314153158850134,0.0007939366806184424
EI_NA_9,0.0015216037734556256,0.00048512513278178404
EI_C0624,0.001517460317460318,0.00011746031746031802
EI_C0505,0.0015010787588118108,0.0004903905807910169
EI_C1293,0.0015,0.0
EI_C0424,0.001499886822282655,0.0005100181388840482
EI_C0638,0.0014851339389168343,0.0006069754379310955
EI_C0115,0.001472222222222222,0.0
EI_C0158,0.0014602355052355058,0.0005040970824335057
EI_C1004,0.0014451540571910945,0.000639686888599253
EI_C0819,0.001444444444444444,0.0
EI_C0833,0.0014267211744484476,0.0006067342288852246
"EI_Butanoic acid, 2,4-dihydroxy- (3TMS)",0.0014250713429634994,0.0006149640982023757
EI_Tyrosine (3TMS),0.0014212905921239258,0.0006782299279774028
EI_C0376,0.001415873015873016,0.0
EI_C0938,0.0014150974025974022,0.00061770187742048
EI_C0237,0.0014066836954932192,0.00057605156040468
EI_C0912,0.0013972209503459513,0.00042765287035392054
EI_C1091,0.001392857142857142,0.0
EI_C0968,0.001392796092796092,0.00012612942612942612
EI_C0574,0.001391941391941392,0.0
EI_C0214,0.001387963162472967,0.000597931201454333
EI_C1131,0.0013859757306185876,0.0006987547409801889
EI_C0674,0.0013818181818181818,0.0
EI_C0564,0.0013794011544011546,0.00037530664835387975
EI_C0294,0.0013757381507381507,0.0003497721670079984
"EI_Homoserine, beta-, DL- (3TMS)",0.001374137397155689,0.0005237939670660253
EI_Aspartic acid (4TMS),0.0013722255315701923,0.00038877850813472586
EI_C0582,0.0013549855699855702,0.0005397636825916888
EI_C0470,0.0013533666333666334,0.0004944713219044531
EI_C0439,0.0013531746031746035,0.0002455993383977574
EI_C1050,0.0013512035298673222,0.0005051313445359649
"EI_Pentadecan-1-ol, n- (1TMS)",0.001350200195427468,0.0004384802590499279
EI_C0413,0.0013496565934065933,0.00041910884022603443
EI_Threonine (3TMS),0.0013458852812957432,0.00047210766659048966
EI_C1175,0.001344444444444444,0.0
EI_C0161,0.0013415680245680243,0.0006895665470445263
EI_C0889,0.0013360961531693244,0.00039106557813666594
EI_C0107,0.0013335858585858586,0.0003488801556755283
